phi1,phi2,energy
0.0,0.0,0.4054534739907467
11.25,0.0,0.3909169711978393
22.5,0.0,0.34979924646722793
33.75,0.0,0.2917169972215561
45.0,0.0,0.22914678013694356
56.25,0.0,0.17629797600693564
67.5,0.0,0.15706336471703253
78.75,0.0,0.1788664969817546
90.0,0.0,0.2252292230450621
101.25,0.0,0.2738999483799489
112.5,0.0,0.3062545137172492
123.75,0.0,0.3106671634150189
135.0,0.0,0.28325217065776087
146.25,0.0,0.23654965130754135
157.5,0.0,0.1888822893251927
168.75,0.0,0.15509860532347375
180.0,0.0,0.1422381592747115
191.25,0.0,0.15509779436069948
202.5,0.0,0.18888310028705746
213.75,0.0,0.23654782664198137
225.0,0.0,0.28325257613869326
236.25,0.0,0.3106657442303913
247.5,0.0,0.30625289179261017
258.75,0.0,0.27390157030458795
270.0,0.0,0.2252288175641297
281.25,0.0,0.17886710520360793
292.5,0.0,0.15706458116073918
303.75,0.0,0.17629939519156324
315.0,0.0,0.2291473883587969
326.25,0.0,0.29171537529691705
337.5,0.0,0.34980056428139505
348.75,0.0,0.3909169711978393
360.0,0.0,0.405452460287961
0.0,11.25,0.3871999245839106
11.25,11.25,0.37312577178636275
22.5,11.25,0.3311401144410411
33.75,11.25,0.2702317622561168
45.0,11.25,0.20252713885020057
56.25,11.25,0.15242161811420374
67.5,11.25,0.13800108295890823
78.75,11.25,0.16252033137243416
90.0,11.25,0.21024993472747155
101.25,11.25,0.259903141130053
112.5,11.25,0.2913157735256391
123.75,11.25,0.2967465866395287
135.0,11.25,0.27126796958964405
146.25,11.25,0.2255698272947484
157.5,11.25,0.17747711548054212
168.75,11.25,0.14232635144617234
180.0,11.25,0.12814505022834055
191.25,11.25,0.13984156234982947
202.5,11.25,0.1734875854672282
213.75,11.25,0.22059497784448467
225.0,11.25,0.2670734688044831
236.25,11.25,0.2957531575784742
247.5,11.25,0.29268102889182046
258.75,11.25,0.25945853093980986
270.0,11.25,0.21025094843025727
281.25,11.25,0.1671132174851664
292.5,11.25,0.1496073755024554
303.75,11.25,0.170949678326906
315.0,11.25,0.21982780732105311
326.25,11.25,0.2782529923333641
337.5,11.25,0.33328815135973855
348.75,11.25,0.3726255092942665
360.0,11.25,0.3871999245839106
0.0,22.5,0.3432893463777873
11.25,22.5,0.329691532677316
22.5,22.5,0.28655157158482325
33.75,22.5,0.22266029658931075
45.0,22.5,0.15485997960786335
56.25,22.5,0.11104428401358746
67.5,22.5,0.10304616636767605
78.75,22.5,0.12881672991807136
90.0,22.5,0.1752398726866886
101.25,22.5,0.22185724097471393
112.5,22.5,0.2547788718393349
123.75,22.5,0.26060502917243866
135.0,22.5,0.2362116826861893
146.25,22.5,0.19148507346471888
157.5,22.5,0.14403809054147132
168.75,22.5,0.10829147181084409
180.0,22.5,0.09360575191840326
191.25,22.5,0.10540403983304714
202.5,22.5,0.13912183313186688
213.75,22.5,0.18525363762364577
225.0,22.5,0.230863993228013
236.25,22.5,0.25921990522419947
247.5,22.5,0.25650013974336616
258.75,22.5,0.22391221994712396
270.0,22.5,0.1744921652625635
281.25,22.5,0.13329486483689834
292.5,22.5,0.11993466314834222
303.75,22.5,0.14174286392881186
315.0,22.5,0.18512956036101968
326.25,22.5,0.23899470324249705
337.5,22.5,0.2902059713451308
348.75,22.5,0.3275019339298524
360.0,22.5,0.34328873815593397
0.0,33.75,0.2904397312859146
11.25,33.75,0.2769558578165743
22.5,33.75,0.23190932388934016
33.75,33.75,0.16640788285167218
45.0,33.75,0.10579999227320513
56.25,33.75,0.06950333822805987
67.5,33.75,0.06571918446752534
78.75,33.75,0.09102608020930347
90.0,33.75,0.13250823121325084
101.25,33.75,0.17663087611344963
112.5,33.75,0.20951459448133392
123.75,33.75,0.2159205900015877
135.0,33.75,0.19205801847056136
146.25,33.75,0.1484397922449716
157.5,33.75,0.10209592106002674
168.75,33.75,0.06683547434749926
180.0,33.75,0.05274966396336822
191.25,33.75,0.06604032561699569
202.5,33.75,0.09876286518920097
213.75,33.75,0.1431488701609851
225.0,33.75,0.18752048054830084
236.25,33.75,0.21502832851183484
247.5,33.75,0.21204500021849526
258.75,33.75,0.1801601849083454
270.0,33.75,0.13226717261022714
281.25,33.75,0.09409983082059625
292.5,33.75,0.08273986813583178
303.75,33.75,0.10235259069031599
315.0,33.75,0.13930875998812553
326.25,33.75,0.18700511388033192
337.5,33.75,0.23529387587859674
348.75,33.75,0.27295760995639284
360.0,33.75,0.29043892032314034
0.0,45.0,0.2459624930324935
11.25,45.0,0.2300360005165203
22.5,45.0,0.18262226705519424
33.75,45.0,0.12204012453639734
45.0,45.0,0.06817680632047995
56.25,45.0,0.0384055620233994
67.5,45.0,0.036952722706701024
78.75,45.0,0.0583098255965524
90.0,45.0,0.09568323509938637
101.25,45.0,0.13977506342507695
112.5,45.0,0.17168278842564177
123.75,45.0,0.17832031373927748
135.0,45.0,0.1546215566331739
146.25,45.0,0.11183517519020825
157.5,45.0,0.06632902826731879
168.75,45.0,0.032047007809524075
180.0,45.0,0.01911458883932937
191.25,45.0,0.031900426338324905
202.5,45.0,0.06468439631953515
213.75,45.0,0.1079056564021812
225.0,45.0,0.15049233832905884
236.25,45.0,0.1775318554491605
247.5,45.0,0.17506308286192507
258.75,45.0,0.14321678827036521
270.0,45.0,0.09707058919502742
281.25,45.0,0.060962483930779854
292.5,45.0,0.0495467675737018
303.75,45.0,0.06317478962773748
315.0,45.0,0.0945306546482243
326.25,45.0,0.13816570834569575
337.5,45.0,0.18548861400722672
348.75,45.0,0.22673254477740556
360.0,45.0,0.24596370947620017
0.0,56.25,0.22162550844041107
11.25,56.25,0.20375392237019696
22.5,56.25,0.15793089185081044
33.75,56.25,0.10230920419689937
45.0,56.25,0.05507955922257679
56.25,56.25,0.028869859479527804
67.5,56.25,0.02480734284108621
78.75,56.25,0.04171530272196833
90.0,56.25,0.07680808293753216
101.25,56.25,0.12177027676443686
112.5,56.25,0.15409970226482983
123.75,56.25,0.15885984939359332
135.0,56.25,0.13396330067644158
146.25,56.25,0.09152522762724402
157.5,56.25,0.04684646519308444
168.75,56.25,0.01421191505232855
180.0,56.25,0.0011685969602694968
191.25,56.25,0.014165892930577684
202.5,56.25,0.046744283918087604
213.75,56.25,0.09033493741935672
225.0,56.25,0.13279794756545016
236.25,56.25,0.15868772260273545
247.5,56.25,0.15502399677370704
258.75,56.25,0.12296198615695175
270.0,56.25,0.07728918643988436
281.25,56.25,0.04253701047400682
292.5,56.25,0.028652927011535212
303.75,56.25,0.03591063589556143
315.0,56.25,0.06300813683355955
326.25,56.25,0.10698663314997248
337.5,56.25,0.15830636748796678
348.75,56.25,0.20345812379946437
360.0,56.25,0.2216261166622644
0.0,67.5,0.22572147728169512
11.25,67.5,0.20703406293796434
22.5,67.5,0.16244105978876178
33.75,67.5,0.11252895360848925
45.0,67.5,0.06983360270623962
56.25,67.5,0.04209057561820373
67.5,67.5,0.03385545418223046
78.75,67.5,0.04707698128368065
90.0,67.5,0.08234310473289952
101.25,67.5,0.12821175189401401
112.5,67.5,0.15994572817908193
123.75,67.5,0.1630156267192433
135.0,67.5,0.13648823241692298
146.25,67.5,0.09410165548615623
157.5,67.5,0.05096189713458443
